Location,Menu_Item,Energy (KCAL),Protein (G),Total lipid(fat) (G),Carbohydrate (G),Fiber (G),Sodium (MG),Cholesterol (MG)
85,Large Cheese Pizza,244.0,8.89,8.89,31.85,1.5,444.0,15.0
10,Grilled Salmon Chopped Salad ,135.07692307692307,9.743846153846155,4.485384615384615,13.466923076923079,0.6,2830.769230769231,24.53846153846154
60,Unicorn Churros,426.3333333333333,2.08,18.763333333333332,62.06,0.0,299.6666666666667,28.333333333333332
10,Bison Burger,234.0,18.143333333333334,15.963333333333333,2.7266666666666666,0.3666666666666667,160.0,47.666666666666664
207,Cotton Candy,383.84,0.382,0.8136,96.74959999999999,0.0,7.2,0.0
85,Iced Tea,44.96,0.0,0.017499999999999998,9.546399999999998,0.0,29.2,0.0
85,Gorgonzola Chicken Skewers,110.2,19.628,1.81,2.7239999999999993,0.0,501.2,54.8
85,Add a Topping to Your Large Pizza for ,67.0,3.59,2.155,18.375,1.9,4548.5,14.0
108,The Original Clubhouse Cheeseburger ,433.0,6.67,13.33,70.0,3.3,967.0,0
85,Tuscan Chicken Sandwich,121.0,11.260000000000002,3.82,10.175,1.4500000000000002,440.0,20.0
85,Lollipops,387.6,0.0,0.18291666666666664,96.29839999999999,0.0,15.291666666666666,0.0
108,Breakfast Burrito,206.16,9.4068,8.492399999999998,22.9432,1.7800000000000002,435.96,66.88
108,Filet Mignon Stroganoff ,268.3333333333333,24.72666666666667,16.189999999999998,5.67375,0.6,313.22222222222223,77.55555555555556
108,Grilled Chicken Fresh Strawberry Salad,195.2,10.563333333333334,11.983333333333336,10.98333333333333,1.1133333333333335,396.3333333333333,37.0
10,Turkey Croissant Sandwich,278.0,10.586190476190476,15.71952380952381,23.04619047619048,1.0571428571428574,501.8095238095238,57.142857142857146
108,Mixed Green Salad,103.0,0.64,8.97,5.13,1.3,128.0,0.0
85,Albacore Tuna Wrap ,159.2,24.040000000000003,6.458399999999999,1.886818181818182,0.24500000000000002,263.08,33.8
108,Albacore Tuna Wrap ,159.2,24.040000000000003,6.458399999999999,1.886818181818182,0.24500000000000002,263.08,33.8
85,French Onion,180.8181818181818,3.1809090909090902,15.682380952380957,7.2890476190476186,0.21428571428571427,643.5454545454545,53.888888888888886
108,Southwestern Wrap ,188.0,10.59,6.67,21.18,3.1,596.0,18.0
10,Penne Bolognese,116.25,4.819999999999999,6.282500000000001,10.464999999999998,1.325,108716.0,2223.5
108,Goodie Bags,476.0,11.9,19.05,64.29,7.1,0.0,0.0
10,Cotton Candy,383.28,0.382,0.8136,96.74959999999999,0.0,7.2,0.0
207,Add a Topping to Your Large Pizza for ,67.0,3.59,2.155,18.375,1.9,4548.5,14.0
85,Coffee,172.6,1.857,6.376,36.397999999999996,2.2,248.3,15.571428571428571
10,Clubhouse Wings,433.0,6.67,13.33,70.0,3.3,967.0,0
10,Southwestern Egg Rolls,73.4,8.552000000000001,3.095,7.046000000000001,1.0333333333333334,335.8,6.5
10,Iced Cinnamon Sticks,250.0,0.0,0.0,75.0,50.0,0.0,0.0
207,Large Cheese Pizza,244.0,8.89,8.89,31.85,1.5,444.0,15.0
85,Mediterranean Greek Salad,149.44444444444446,5.716666666666666,7.901111111111111,15.700000000000001,3.1555555555555554,369.6666666666667,7.666666666666667
108,Three Cheese Baked Penne,180.0,8.23,9.915,14.605,0.65,335.5,32.5
108,Bison Burger,234.0,18.143333333333334,15.963333333333333,2.7266666666666666,0.3666666666666667,160.0,47.666666666666664
85,Cotton Candy,383.28,0.382,0.8136,96.74959999999999,0.0,7.2,0.0
85,Buffalo Chicken Wings,192.92,9.514,11.746400000000001,12.574999999999996,1.1888888888888889,2055.96,48.142857142857146
108,Fish N Chips ,345.0,6.9,0,72.41,0,3310.0,0
108,Garlic Mashed Potatoes,249.47619047619048,4.61952380952381,7.47047619047619,41.18619047619048,3.385714285714286,1071.857142857143,9.052631578947368
10,Hot House Cucumber Tomato Salad ,164.33333333333334,2.78,11.488181818181818,15.209166666666667,1.0250000000000001,589.8333333333334,1.1818181818181819
108,Strawberry Chicken Salad,165.0,7.06,8.24,15.29,1.8,329.0,24.0
